Hôtel Adèle & Jules,282,9th arr.,1.1 miles,9.1,Superb,9.3,682
Saint Germain Lovely Apartment,NA,5th arr.,Metro access,7.4,Good,NA,16
Le Méridien Etoile,177,17th arr.,3.1 miles,7.8,Good,NA,1265
Hôtel Montecristo,293,5th arr.,1.3 miles,9.1,Superb,NA,573
Hôtel Square Louvois,311,2nd arr.,1.1 miles,9.1,Superb,9.4,597
Timhotel Paris Gare de Lyon,110,12th arr.,1.1 miles,7.6,Good,NA,1095
Hôtel Crayon Rouge by Elegancia,177,1st arr.,0.7 miles,8.4,Very good,9.3,226
Hôtel Recamier,400,6th arr.,0.9 miles,9.1,Superb,9.8,212
Suite JOHN,NA,12th arr.,Metro access,8.8,Fabulous,NA,18
Rambuteau Flat,161,3rd arr.,"1,800 feet",8.4,Very good,9.5,11
Hotel Daniel Paris - Relais et Chateaux,469,8th arr.,2.3 miles,9.1,Superb,9.5,67
Hôtel Magellan,132,17th arr.,3.1 miles,9.1,Superb,NA,562
Résidence Champ de Mars,114,15th arr.,2.5 miles,8.3,Very good,9.3,475
Hôtel des Arts Montmartre,132,18th arr.,2.2 miles,9.1,Superb,9.6,740
Snob Hotel by Elegancia,243,1st arr.,"2,150 feet",8.6,Fabulous,NA,379
Architect Flat Tour Eiffel/Rue cler,NA,7th arr.,Metro access,9.4,Superb,10,6
Idol Hotel,237,8th arr.,2.1 miles,9.1,Superb,NA,1249
Hôtel Mimosa,110,10th arr.,0.9 miles,7.7,Good,NA,1004
Hidden Hotel,243,17th arr.,3 miles,9.1,Superb,9.4,422
Best Western Premier Hotel Littéraire Le Swann,133,8th arr.,2.1 miles,8.5,Very good,NA,731
Hotel Antin Trinité,132,9th arr.,1.5 miles,7.8,Good,NA,1330
Hôtel Baume,260,6th arr.,0.7 miles,9.1,Superb,9.5,294
Hotel OHM by Happyculture,NA,16th arr.,Metro access,7.8,Good,NA,867
Maison Bréguet,240,11th arr.,1 miles,8.7,Fabulous,NA,259
Le Pavillon des Lettres,276,8th arr.,1.8 miles,9.1,Superb,9.4,312
Residhome Paris Rosa Parks,70,19th arr.,2.9 miles,8.5,Very good,NA,1763
Hotel La Villa Saint Germain Des Prés,306,6th arr.,0.8 miles,9.1,Superb,9.8,205
Hôtel George Washington,148,8th arr.,2.5 miles,7.3,Good,NA,348
La Villa Royale,183,9th arr.,1.9 miles,8,Very good,NA,1193
Hôtel Le Fabe,146,14th arr.,2.3 miles,8.9,Fabulous,NA,1303
Invalides Tour Eiffel,NA,7th arr.,,7.8,Good,9.6,48
Les Jardins Du Marais,222,11th arr.,0.8 miles,8,Very good,NA,1666
Chambellan Morgane,171,16th arr.,2.6 miles,8.1,Very good,9.4,449
Hidden Hotel,243,17th arr.,3 miles,9.1,Superb,9.4,422
Hôtel Pont Royal,299,7th arr.,1.1 miles,8.6,Fabulous,9.4,344
Bonséjour Montmartre,121,18th arr.,2.2 miles,7.8,Good,NA,742
Hôtel Duo,295,4th arr.,650 feet,8.5,Very good,9.4,705
Be You Luxury Apart'Hôtel 16,NA,16th arr.,,9,Superb,NA,45
Dream Hotel Opera,149,9th arr.,1.3 miles,8.4,Very good,NA,659
